decoded_emojis,rating
تطبيق ضعيف رسوم على التوصيل هو التوصيل بطيئ لماذا تبا لكم وصلني الطعام فاسد هو لا يوجد خدمة عملاء!!!!!,-1
لا يستحق اكثر من نجمه بعد ما صار الدفع البطاقه مفكرين الناس كلها معها فيزا,-1
البرامج وحش,-1
خههنننهنننننننننننننننن,-1
جميل جدا خدمه مميزه,1
اهاخلللخب,1
تجربه ممتع وجميلااا جداا شركه ممتازه اتمناه لكم التوفيق red heart,1
اتمنى اضافة خدمة الموقع في التطبيق,1
تم خصم مبلغ رحلة لم تستخدم رغم تأخر الباص اكتر من نصف ساعة والماء الرحلة,-1
كيف ممكن اكون مندوب توصيل طلبات .. ارجو الافادة بارك الله فيك,1
شكرا لكم الاكل الذي,1
جميل جدا ورقيه,1
اتمنى ان تمنحوني قسيمة واحده فقط,1
طلبت من برجر كينج من ساعتين وكتبلي الطلب ناجح وماوصلوه لي ولايردون علي التلفون تطبيق سيئ لانه مايستقبل شكاوي لايرد علي العملاء,-1
مش عارف اسجل,-1
طب لو عايزة احجز معاد رحلة قبلها بيوم ينفع ولا لاا وادي بعد اذنكم,1
مدان,1
ليس من حقك ان تطلب رقم الهاتف,-1
جاري التجربة,1
مسابقة فينوس,1
جربته لأول مره لاكن كان وصول الطعام متأخر جدا يعني بعد الوقت المقرر بنصف ساعه وةملاحضه اكثر يرجى وضع اختيار فئة العمر لان اكثر الأحيان الأطفال ينزل البرنامج ويطلبون اوردرات بدون علم الاب او الام وعند وصول المندوب يفاجئ بأن الاوردر مخصص له وهو لا يعلم من طلبه يقع احراج بين الطرفين السائق والعميل يعني يرجى تحديد الفئه العمليه لاستخدام هذا البرنامج,-1
غير متاح التوصيل الى مايو,-1
تم,-1
مبيرحش في كل المناطق,-1
"هل يوجد ميعاد من المنصورة للاسكندريه صباحا والعكس عصرا""",1
يعني الطلبات يلي بتوصيل عليها عن طريقكم تكون الجودة سيئة هو طبعا لان موظف المطعم تمشي الطلب تمشي من وراء يده زي أكون أنا مش دافعه ماري حق الطلب بس نروح على المطعم هو توصي بنفسك بكون الطلب جودة عالية مع زيادة pensive face pensive face expressionless face,-1
التطبيق مميز وما في أي مشكله أشكر إلي صنعه,1
مبيفتحش إيه لازمت,-1
من اولا كده فشل ازاي حاجه في مصر وتبقى انجليزي بس ياريت تراجعو جميع الناس,-1
التحديث الجديد فاشل .. عندي مبلغ بطلبات بي اقدر استخدمه .. ولا قادره اتحدث مع مسؤلين الخدمه ولا في امكانيه اتصال ! مسحت البرنامج ورجعت يقول الباسوورد خطأ !!!,-1
الصراحه هو التطبيق الوحيد الي استعمله وواحد حلو smiling face with heart-eyes,1
thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up thumbs up,1
باله ابن نسخه مفيش حد ينزل,-1
سيء لاتوجد مناطق,-1
أجمل خدمه واجمل مطعم صراحه التوصيل سريع الاكل حار وانصحكم فيه ribbon,1
غير متاح توصيل الطلبات لدي في مدينتي الخاصة بي فلماذا وجود البرنامج لدي فلابد من حذفه,-1
دي '#:@:%<::'''<:(:,0
فاشل لايعمل يقول هناك تحديث ونتحدث تتكرر العبارة فشل + فشل +فشل.....................،،،،،،،،،،،،،،،,-1
ممتاز جدا,1
يوصل الأكل متأخر,-1
مش عاوز يفتح,-1
انا احببت التطبيق لكنه لا يتحمل على الجهاز انا احببت التطبيق لكنه لا يتحمل على الجهاز هو شكرا,1
حلو حلو حلو يسهل مليون نجمه,1
احسن برنامج طلب طعام كلشي عندهم تمااامم انصحك فيه.,1
thumbs up thumbs up growing heart,1
هل يوجد توصيل اطفال مدارسهم ذهاب هو ايام الإسكندرية اشتراك شهري؟؟؟,0
تتصل قصص قد أن كل من اغ عن هل,1
جماد,1
بطئ التوصيل,1
اوك جيد,1
يجب وضع صور,0
ليش التوصيل ما يشمل جميع مناطق بغداد,-1
ليش رسوم خدمه face with symbols on mouth enraged face no service fee enraged face هو رجعت طلبات مارت ليرات وتوصيل مجاني and return mart orders for lira and free delivery,-1
من جد يريح,1
سيء جدا .. لايوجد مصداقية في التوصيل,-1
منظمين ودقة في الوقت,1
دارت الجديدة شارع قبر السيد,0
تطبيق اكثر من رائعه smiling face with heart-eyes smiling face with open hands,1
اجمل برنامج face with tears of joy,1
تطبيق سئ جدا ولا يعمل,-1
ممتاز جدا يقبل نظيف,1
لا استطيع ادخل بريد الكتروني يرفض تسجيل دخول,-1
البرنامج فيه مشكلة مش يفتح,1
برنامج حلو بس في مشكله التوصيل بطيء جدا,1
التطبيق جدا جميل والخدمات رائعه green heart green heart,1
تجربة فريدة ومميزة,1
حلو,1
جميل ولكن بعض الاحيان توجد عروض للمطاعم غير متوفرة على طلبات متوفر على موقع المطعم فقط,1
خليني اربع اكل,1
حلو هذا برنامج وااااحد,1
أقوى برنامج,1
جميل جدا بس لولا التأخير لكن التأخير ربما يكون من المطعم لذلك لا أعلم من الوم إني حزين جدا لان قصتي عن ...لا تمزح ماشالله طلبات كويس انصح الكل انو يستخدمه ثلاث مرات باليوم بعد الاكل ...قصدي قبل الاكل,1
جيد ولاكن لم يغطي اغلب الأماكن والمدن المهمه في السعودية,-1
حلوين بس يتأخر لو اروح انا للمطعم احسن,-1
موقع زبالة وسئ طلبت امبارح موردر وبعد انتظار ساعة وربع يتصلوا يقولولي مش نوصل منطقتك طيب كنتوا تقولوا من الاول تجربة سيئة وجاري الغاء تثبيت التطبيق,-1
بقرب ياريت استاد حرس فالماكس ومايستحقون الحدود فاسكندريه,0
%,1
جملاهعه,-1
فوق الامتياز,1
مرا ممتاز ملاحظه لو يضيف دومنيك بيزا مو شرط عن حسب موقعنا تبا كل المطاعم موجوده,1
افضل موقع للطلبات بدون منازع,1
على قتلتهم المعروف لا يعرف .. هذا التطبيق خياااااالي بطبع .. وهو سهلةجدا للاستعمال فيه .. جميل وجذاب .. smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes smiling face with heart-eyes,1
كنت اعمل هيك بس ما بخصم بس انتهت القسيمة بدون ما اقدر اشتري منها ليش هيك,-1
لغه عربي يا جدران,1
لو سمحت ممكن تفتح خط من الخلافاوي لشارع الهرم,1
بجد بجد برنامج فاشل اولا بمقعد ساعتين على ما الاوردر يوصل ثانيا المندوب حرامى نصاب واستولى عن الاوردر broken heart,1
الاكل بارد هو الخبز قديم هو ناقصة الطلبية losers,-1
اقبل تطبيق الحياة ما في رقم فعلي شغال غرامية رسمي,-1
البرنامج جميل لكن ينقصه تحديد موعد وصول الطلب,1
ممتازة وسهلة ومرة وسرعة استجابة,1
بحاول أحول مبلغ محفظة فودافون كاش مش راضي يحول تطبيق سيئ يرجى عمل أكواد أفضل من التطبيق,-1
التحديث الجديد عجيب وواضح اسهل من القديم بيته الله يعطيكم الكافيه الجهود الجبارة للبرنامج الي مااستغني عنه شكرا,1
"جميل ورع""",1
لا يعجبني وع وع وع وع,-1
لما بحث لتوصيله من شكرا المهندسين مفيش غير مواعدات صباحيين الموعد كل يومين طب احنا لو راين متأخر بالليل مفيش وعلي فكره في نقص شديد للمواصلات به في هذه المنطقه ويبقي آخرها مساء نرجو مراعاة ذلك,-1
الصراحة البرنامج رائع smiling face with halo,1
منظم,1
التطبيق جميل ولكن كيف استخدم الرصيد الذي taliban bay ارجو الرد,-1
الحق بوجه البرنامج,1
جيد بس المطاعم قليله ياليت تريدون عددها مستقبلا,1
برنامج عملي لكن للأسف في زيادة في الأسعار بالنسبة الأسعار المطعم الواقعية غير عمولة التوصيل,-1
تجربه جيده التطبيق رائع,1
يعلق,1
مجهودك رائع,1
سيء جدا جدا والله العظيم,1
